AJ	Abbey
Abbott	Abbie
Abe	Abby
Ace	Abigail
Aero	Ada
Aiden	Addie
Albert	Addy
Alden	Adelaide
Alex	Adeline
Alexander	Agatha
Alfie	Agnes
Alford	Alexis
Alistar	Alice
Alvin	Allie
Amos	Alyssa
Andy	Amber
Angus	Amelia
Apollo	Anastasia
Archie	Angel
Aries	Anna
Arthur	Annabell
Artie	Annabelle
Ash	Annamae
Ashby	Anne
Augustus	Annie
Austin	Arabella
Axel	Ariel
Bailey	Arlene
Bandit	Ashley
Barkley	Ashlyn
Barney	Aspen
Baron	Astrid
Barton	Athena
Basil	Audra
Baxter	Autumn
Bear	Ava
Beau	Averill
Ben	Avery
Benji	Baby
Bennett	Bailey
Benny	Basil
Benson	Bea
Bentley	Bean
Bernard	Beatrice
Bernie	Bebe
Bertrand	Bella
Billy	Belle
Bingo	Bernadette
Biscuit	Bernice
Blake	Bertha
Blaze	Bessie
Blue	Beth
Bo	Betsy
Bodhi	Betty
Bodie	Beverly
Bogey	Bianca
Boomer	Billie
Bosco	Birdie
Bradford	Biscuit
Bradley	Blanche
Brady	Blondie
Braxton	Blossom
Brigham	Bonnie
Brock	Boo
Broderick	Brandi
Brodie	Brandy
Brody	Brooklyn
Brogan	Brownie
Bronson	Buffy
Brownie	Buttons
Bruce	Cali
Bruiser	Callie
Bruno	Camilla
Brutus	Camille
Bubba	Candy
Buck	Carla
Buddy	Carlotta
Buster	Carly
Butch	Carmela
Buzz	Casey
Byron	Cassandra
CJ	Cassie
Cadence	Catherine
Caesar	Cecelia
Cain	Celeste
Calvin	Celia
Captain	Chance
Carlton	Chanel
Carter	Charlie
Casey	Charlotte
Cash	Chelsea
Casper	Cheyenne
Cecil	Chloe
Cedric	Cinnamon
Champ	Claire
Chance	Clara
Charley	Clarabelle
Charlie	Clarissa
Chase	Clementine
Chester	Cleo
Chewy	Coco
Chico	Cocoa
Chief	Constance
Chip	Cookie
Chopper	Cora
Clark	Coral
Clement	Cricket
Clifford	Daisy
Clyde	Dakota
Coco	Dana
Cody	Daphne
Colby	Darla
Coleman	Darlene
Colin	Delia
Conrad	Delilah
Cooper	Destiny
Copper	Diamond
Cornelius	Diva
Cosmo	Dixie
Crawford	Dolce
Dakota	Dolly
Dallas	Dolores
Damien	Doris
Dane	Dorothea
Daniel	Dorothy
Dante	Dot
Darius	Dottie
